06-04 20:19:17.730|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.26
06-04 20:19:17.884|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 20:19:17.884|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 20:19:17.884|INFO |SuccessStory#<>c:GogApi Initialization
06-04 20:19:17.884|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 20:19:17.884|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 20:19:17.900|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 20:19:47.422|ERROR|SuccessStory#Xbox360Achievements:Xbox360: Xenia path is null or empty
06-04 20:19:47.422|INFO |SuccessStory#Xbox360Achievements:Xbox360Achievements initialized with Xenia path: 
06-04 20:20:53.591|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.32
06-04 20:20:53.777|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 20:20:53.777|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 20:20:53.777|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 20:20:53.777|INFO |SuccessStory#<>c:GogApi Initialization
06-04 20:20:53.777|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 20:20:53.777|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 20:21:04.506|ERROR|SuccessStory#Xbox360Achievements:Xbox360: Xenia path is null or empty
06-04 20:21:04.506|INFO |SuccessStory#Xbox360Achievements:Xbox360Achievements initialized with Xenia path: 
06-04 20:24:52.582|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.27
06-04 20:24:52.757|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 20:24:52.757|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 20:24:52.757|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 20:24:52.757|INFO |SuccessStory#<>c:GogApi Initialization
06-04 20:24:52.757|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 20:24:52.766|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 20:25:02.826|ERROR|SuccessStory#Xbox360Achievements:Xbox360: Xenia path is null or empty
06-04 20:25:02.826|INFO |SuccessStory#Xbox360Achievements:Xbox360Achievements initialized with Xenia path: 
06-04 20:56:28.409|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.27
06-04 20:56:28.553|INFO |BlankPlugin#BlankPlugin:BlankPlugin started.
06-04 20:56:28.553|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 20:56:28.553|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 20:56:28.553|INFO |SuccessStory#<>c:GogApi Initialization
06-04 20:56:28.553|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 20:56:28.553|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 20:56:28.562|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 20:56:43.485|ERROR|SuccessStory#Xbox360Achievements:Xbox360: Xenia path is null or empty
06-04 20:56:43.485|INFO |SuccessStory#Xbox360Achievements:Xbox360Achievements initialized with Xenia path: 
06-04 20:59:11.605|INFO |BlankPlugin#BlankPlugin:BlankPlugin stopped.
06-04 20:59:13.608|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.31
06-04 20:59:13.798|INFO |BlankPlugin#BlankPlugin:BlankPlugin started.
06-04 20:59:13.798|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 20:59:13.798|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 20:59:13.798|INFO |SuccessStory#<>c:GogApi Initialization
06-04 20:59:13.798|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 20:59:13.798|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 20:59:13.798|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 21:04:23.672|INFO |BlankPlugin#BlankPlugin:BlankPlugin stopped.
